ipft,key,name,iallom,tropical,savannah,conifer,grass,liana,pathway,rho,SLA,hgt.ref,b1Ht,b2Ht,b1Bl,b2Bl,b1Bs.small,b2Bs.small,b1Bs.large,b2Bs.large,qroot,qsw,qbark,hgt.min,hgt.max,dbh.min,dbh.crit,bdead.crit
5,TTG,Temperate C3 Grass,3,FALSE,FALSE,FALSE,TRUE,FALSE,3,0.08,22,0,0.4778,-0.75,0.08,1,1E-05,1,1E-05,1,1,0.00564102564102564,0,0.15,0.45391,0.502384758109306,3.99430969807199,1.99715484903599e-05
6,NPN,North Pine,3,FALSE,FALSE,TRUE,FALSE,FALSE,3,NA,6,1.3,27.14,-0.03884,0.024,1.899,0.147,2.238,0.147,2.238,0.3463,0.00153846153846154,0,1.5,27.11286,0.190434691671091,77.7029455069809,1250.50785443042
7,SPN,South Pine,3,FALSE,FALSE,TRUE,FALSE,FALSE,3,NA,9,1.3,27.14,-0.03884,0.024,1.899,0.147,2.238,0.147,2.238,0.3463,0.00230769230769231,0,1.5,27.11286,0.190434691671091,77.7029455069809,1250.50785443042
8,LCN,Late conifer,3,FALSE,FALSE,TRUE,FALSE,FALSE,3,NA,10,1.3,22.79,-0.04445,0.0454,1.6829,0.1617,2.1536,0.1617,2.1536,0.3463,0.00256410256410256,0,1.5,22.76721,0.198301749779099,64.0400157678846,628.136202033994
9,EHW,Early hardwood,3,FALSE,FALSE,FALSE,FALSE,FALSE,3,NA,30,1.3,22.6799,-0.06534,0.0129,1.7477,0.02648,2.95954,0.02648,2.95954,1.1274,0.00769230769230769,0,1.5,22.6572201,0.13556004073669,43.4927940608198,935.081675241567
10,MHW,Mid hardwood,3,FALSE,FALSE,FALSE,FALSE,FALSE,3,NA,24.2,1.3,25.18,-0.04964,0.048,1.455,0.1617,2.4572,0.1617,2.4572,1.1274,0.00620512820512821,0,1.5,25.15482,0.160647137767314,59.3171178353759,1839.66192824272
11,LHW,Late hardwood,3,FALSE,FALSE,FALSE,FALSE,FALSE,3,NA,60,1.3,23.3874,-0.05404,0.017,1.731,0.235,2.2518,0.235,2.2518,1.1274,0.0153846153846154,0,1.5,23.3640126,0.158926500977565,53.1458688782967,902.50603160036
12,ESV,Early savannah,3,TRUE,TRUE,FALSE,FALSE,FALSE,3,0.53,16.0179385221953,NA,1.139963,0.564899,0.0291982266851591,0.6410495,0.0295190409678254,1.0093501,0.0295190409678254,1.0093501,1,0.278356585516419,0.0745783272573825,0.5,46,0.038967672720458,116.696162125978,10474.7713030912
13,MSV,Mid savannah,3,TRUE,TRUE,FALSE,FALSE,FALSE,3,0.71,11.6448211976991,NA,1.139963,0.564899,0.0401633818209602,0.6410495,0.0396526322038674,1.0093501,0.0396526322038674,1.0093501,1,0.271087930191279,0.0726308822039317,0.5,46,0.038967672720458,116.696162125978,14070.6554238608
14,LSV,Late Savannah,3,TRUE,TRUE,FALSE,FALSE,FALSE,3,0.9,9.66341977026859,NA,1.139963,0.564899,0.0483985391423186,0.6410495,0.0503754680944173,1.0093501,0.0503754680944173,1.0093501,1,0.285162466990384,0.0764017842267899,0.5,46,0.038967672720458,116.696162125978,17875.6318049198
15,ARC,Araucaria,3,TRUE,FALSE,TRUE,FALSE,FALSE,3,0.52,6.324555,NA,1.139963,0.564899,0.0739491395046766,0.6410495,0.0315252762463332,1.0044785,0.0315252762463332,1.0044785,1,0.0462069995106909,0.00359323275819808,0.5,46,0.038967672720458,116.696162125978,10482.410672191
16,C3G,C3 grass,3,TRUE,FALSE,FALSE,TRUE,FALSE,3,0.2,22.7,NA,1.139963,0.564899,0.0206033215859031,0.6410495,1.66682009125783e-06,0.6410495,1.66682009125783e-06,0.6410495,1,1E-05,0,0.5,1.5,0.038967672720458,0.272469472385343,2.0406265165329e-07
17,LNA,Liana,3,TRUE,FALSE,FALSE,FALSE,TRUE,3,0.59,17.8795397089298,NA,1.139963,0.564899,0.0856,2,0.2749,2.69373,0.2749,2.69373,1,0.345881516323521,0,0.5,46,0.038967672720458,116.696162125978,50843.6882786874
